Gene_Name,Correlation,P_Value
MAP3K15,0.171506887273979,P < 0.001
H3F3A,0.133649946499127,P < 0.001
SH3PXD2B,0.139208687841152,P < 0.001
DCBLD1,0.205260132343502,P < 0.001
SRPK1,0.164376341233383,P < 0.001
NKAPD1,0.178854564544126,P < 0.001
GRM1,0.124270971146292,P < 0.001
CLEC2A,0.130574762899733,P < 0.001
PRR15L,0.239843101380743,P < 0.001
CYTH1,0.205248446671661,P < 0.001
ITGAL,0.282473125707414,P < 0.001
EYA1,0.134817306544824,P < 0.001
RHOG,0.219323073462577,P < 0.001
CCDC73,0.170807986420628,P < 0.001
FCRL5,0.163496779834739,P < 0.001
SMG9,0.142362389682259,P < 0.001
SPTLC1,0.183670421273157,P < 0.001
MCM7,0.19810432454039,P < 0.001
ETS1,0.132582329746107,P < 0.001
TNIP3,0.16532079803645,P < 0.001
TAF2,0.139869351827011,P < 0.001
SALL2,0.133375301357443,P < 0.001
MTO1,0.287672347801465,P < 0.001
TMEM259,0.192174764353456,P < 0.001
XPO7,0.185389840435925,P < 0.001
SLC43A1,0.243460122486407,P < 0.001
SLC22A25,0.141972153086352,P < 0.001
CD69,0.293129494633908,P < 0.001
SUPT3H,0.119836455353939,P < 0.001
GON4L,0.183568313453253,P < 0.001
SMURF2,0.162546586913073,P < 0.001
OARD1,0.176911071433576,P < 0.001
GALE,0.254529909833086,P < 0.001
ZC3H4,0.231766083496484,P < 0.001
FZD5,0.203110972953187,P < 0.001
USP34,0.20521963715258,P < 0.001
PKHD1L1,0.203309415062575,P < 0.001
SPATA45,0.201090759970894,P < 0.001
APOA5,0.152351163368397,P < 0.001
IMPA2,0.210087658061055,P < 0.001
GPRC5A,0.332921993569238,P < 0.001
PHF11,0.193311800948877,P < 0.001
NIPSNAP3B,0.260527510640528,P < 0.001
TTC39A,0.240920718975069,P < 0.001
PTK6,0.166483969374594,P < 0.001
NUAK2,0.145671065417408,P < 0.001
PRLHR,0.16899282304125,P < 0.001
YTHDF2,0.153334332577513,P < 0.001
PARPBP,0.138410091896793,P < 0.001
DOCK9,0.280311180421974,P < 0.001
PTPRF,0.335562996810817,P < 0.001
TBC1D2B,0.198359175185709,P < 0.001
VPS13C,0.242883876058058,P < 0.001
IRAK1BP1,0.232825262276256,P < 0.001
CDCA7,0.253992525007206,P < 0.001
CHI3L2,0.216508405578639,P < 0.001
FBXL12,0.155780060072572,P < 0.001
RAB15,0.247589651216388,P < 0.001
ANAPC5,0.231318104469806,P < 0.001
C7orf26,0.239726504650003,P < 0.001
TMED4,0.187980499633837,P < 0.001
MICB,0.1873774277848,P < 0.001
USP50,0.15504531952108,P < 0.001
PTPN7,0.297650129825376,P < 0.001
PARP8,0.203945021958762,P < 0.001
KLHDC7A,0.132327769222937,P < 0.001
METTL21A,0.190795210251483,P < 0.001
SEC61A1,0.125801889074435,P < 0.001
SOCS1,0.164232062365248,P < 0.001
RSBN1,0.317087516606417,P < 0.001
DGUOK,0.157571464124894,P < 0.001
NDUFV3,0.125950513694478,P < 0.001
CNTLN,0.134185583563186,P < 0.001
PNISR,0.332609609241216,P < 0.001
SYCP1,0.169328264621345,P < 0.001
PANK3,0.160528311857324,P < 0.001
FAM98B,0.24724263720726,P < 0.001
ITPRIPL1,0.357204732054467,P < 0.001
MZT1,0.154927720233039,P < 0.001
PELI2,0.151998718233902,P < 0.001
ADCY9,0.142355870871482,P < 0.001
SNAPC5,0.115605339436125,P < 0.001
LTBR,0.275681852989897,P < 0.001
RUSC1,0.199659339340293,P < 0.001
DDX51,0.204219763505174,P < 0.001
UGCG,0.17605517035061,P < 0.001
TGM6,0.126181905770972,P < 0.001
RNF14,0.174840419528038,P < 0.001
ZNF330,0.298857195752298,P < 0.001
BRD1,0.238656754890583,P < 0.001
LPP,0.208178437455845,P < 0.001
MTHFD2L,0.163664411979446,P < 0.001
NXF1,0.222180886466227,P < 0.001
FOXD4,0.138991399787513,P < 0.001
MFSD5,0.177671486877265,P < 0.001
FCGR2A,0.155876069818797,P < 0.001
TP53I3,0.223889651149325,P < 0.001
TRIM29,0.147382259756178,P < 0.001
PKP4,0.300930120292512,P < 0.001
CTNNAL1,0.157198039515902,P < 0.001
HSPA1A,0.261232613320408,P < 0.001
TMEM229A,0.130405400177334,P < 0.001
OR2V2,0.123886646119173,P < 0.001
TNFRSF13B,0.199343982604355,P < 0.001
DAGLA,0.198833477423137,P < 0.001
FNBP1L,0.320503015877382,P < 0.001
SPNS2,0.145696778764321,P < 0.001
TCTN2,0.125289280427831,P < 0.001
BCLAF1,0.224620931507056,P < 0.001
NKX3-2,0.140360611908998,P < 0.001
UPF2,0.221094762075289,P < 0.001
DDX3Y,0.215998269526509,P < 0.001
PDYN,0.143863054034522,P < 0.001
TACC2,0.338924827541085,P < 0.001
FCRLA,0.158021330097832,P < 0.001
TP53AIP1,0.123627136383648,P < 0.001
BLM,0.233164157390825,P < 0.001
FANCF,0.129447919092003,P < 0.001
TNNT1,0.200922262208104,P < 0.001
UBASH3A,0.166730642852051,P < 0.001
MVP,0.1604212064331,P < 0.001
VARS,0.160421579115936,P < 0.001
UBE3D,0.255603110878297,P < 0.001
PPP4R4,0.116893049013007,P < 0.001
DNM1L,0.147127983563221,P < 0.001
KLHL28,0.176716373840796,P < 0.001
MND1,0.247563752940957,P < 0.001
CAPN8,0.135214729384946,P < 0.001
RTTN,0.250986396508839,P < 0.001
ITGB1,0.279573499218397,P < 0.001
FOXC1,0.285163565666551,P < 0.001
RBBP6,0.267242232658975,P < 0.001
LGMN,0.251708356851843,P < 0.001
TEAD1,0.210426763381205,P < 0.001
PHOSPHO1,0.129079580222475,P < 0.001
PLEKHO1,0.276594427475476,P < 0.001
ZC3H12B,0.216668095335289,P < 0.001
PXMP2,0.15792046708331,P < 0.001
DKK2,0.17280810955601,P < 0.001
EIF3L,0.292288033238777,P < 0.001
NOTCH4,0.179755251709648,P < 0.001
ARPC1A,0.275048356396863,P < 0.001
DOCK10,0.260391192387485,P < 0.001
LDAH_ENST00000435420,0.274369124924333,P < 0.001
FAM78A,0.329637266803272,P < 0.001
JMJD1C,0.16905013967575,P < 0.001
KXD1,0.12240831233477,P < 0.001
SULT2B1,0.202254079088068,P < 0.001
DBF4,0.180912139293732,P < 0.001
SLC25A10,0.234723529375079,P < 0.001
SYTL2,0.264508982738302,P < 0.001
BNIP1,0.164756420037459,P < 0.001
ROGDI,0.232172828837786,P < 0.001
TNFSF8,0.18130798123565,P < 0.001
WDR41,0.144431234450262,P < 0.001
GYPE,0.15525504441842,P < 0.001
RNF220,0.201985037447006,P < 0.001
CD300A,0.273887604142082,P < 0.001
NOL8,0.190659792630469,P < 0.001
CXCL16,0.253800671837195,P < 0.001
SPACA3,0.157626343045597,P < 0.001
BTK,0.305559215130135,P < 0.001
FERMT1,0.118973355502294,P < 0.001
FBXO30,0.160787209780371,P < 0.001
PLXNA2,0.150322836334977,P < 0.001
HIST1H4A,0.213180897971827,P < 0.001
JDP2,0.135288005030492,P < 0.001
PRRX1,0.12401038604995,P < 0.001
PRKN_ENST00000366894,0.15657006194864,P < 0.001
MAZ,0.166410540429397,P < 0.001
HOXB7,0.21174684597512,P < 0.001
EPAS1,0.187018514142152,P < 0.001
PON2,0.340063387982591,P < 0.001
CDC42EP2,0.212246048861118,P < 0.001
PCYT2,0.128132706122181,P < 0.001
CREG1,0.158269331263201,P < 0.001
SLA2,0.178395820097998,P < 0.001
POLG,0.195199174757631,P < 0.001
ALPK1,0.191831839292925,P < 0.001
KRTAP3-2,0.126221033626141,P < 0.001
CCL3,0.144872415319882,P < 0.001
OCRL,0.230591063055697,P < 0.001
PFAS,0.256474495570129,P < 0.001
ABCG2,0.122675507743424,P < 0.001
MYO3A,0.128093506054111,P < 0.001
TWF1,0.28580475892786,P < 0.001
SFN,0.264523158484523,P < 0.001
ATP6V0E1,0.262260041913761,P < 0.001
NBR1,0.181140965324858,P < 0.001
DNAH1,0.17676247213563,P < 0.001
OR1J1,0.172255629698157,P < 0.001
SPSB2,0.191475358069608,P < 0.001
ATP6V1D,0.208224658805887,P < 0.001
COL12A1,0.179949369167939,P < 0.001
WWC2,0.263270800831615,P < 0.001
TBXAS1,0.120396504862882,P < 0.001
WDR89,0.271060040013484,P < 0.001
PLEK,0.280629077904768,P < 0.001
ARHGAP19,0.335518175150832,P < 0.001
FNBP4,0.27267969155059,P < 0.001
PROCA1,0.134349147332508,P < 0.001
COPG1,0.164191207725461,P < 0.001
GPR171,0.163281211673273,P < 0.001
USP53,0.23113640771776,P < 0.001
ZNF100,0.256769496198631,P < 0.001
TLE4,0.1899034770957,P < 0.001
NIN,0.250327117181016,P < 0.001
ATP13A4,0.119167541507165,P < 0.001
SPIRE2,0.177658654442729,P < 0.001
SCRN1,0.135042781863708,P < 0.001
TCL1A,0.254412969169668,P < 0.001
SS18L2,0.238559609308918,P < 0.001
PGRMC1,0.270516587495332,P < 0.001
PHOX2B,0.161099214811679,P < 0.001
RAB7A,0.126146612542873,P < 0.001
PLSCR4,0.206905153499108,P < 0.001
TNF,0.193175537462656,P < 0.001
ZKSCAN2,0.240667081703893,P < 0.001
TYK2,0.271717172747058,P < 0.001
DNAJC27,0.1923340300601,P < 0.001
NR1D2,0.23678001897352,P < 0.001
ZBTB24,0.277610530340386,P < 0.001
PHIP,0.178123954826663,P < 0.001
ELOVL7,0.266117701887936,P < 0.001
NPLOC4,0.123641483420958,P < 0.001
ZBTB49,0.214610295114801,P < 0.001
CASC3,0.171110502778556,P < 0.001
RIOK2,0.221992758484607,P < 0.001
SERINC3,0.203676620029741,P < 0.001
TSPAN6,0.304129864835918,P < 0.001
SGMS2,0.319838398026293,P < 0.001
FAM162B,0.161120828073805,P < 0.001
HIBADH,0.267159161091587,P < 0.001
SMARCB1,0.215987758998125,P < 0.001
MAPK8,0.131961316161133,P < 0.001
FBXO43,0.257692726197016,P < 0.001
B3GAT1,0.138555187537012,P < 0.001
GPATCH8,0.21550265154787,P < 0.001
CAMK1G,0.206725985449902,P < 0.001
GEMIN5,0.143552218328181,P < 0.001
ATG4B,0.137055031256934,P < 0.001
GIMAP4,0.144710440656801,P < 0.001
TSHZ1,0.14347049057543,P < 0.001
SFSWAP,0.272246054882771,P < 0.001
SLAMF7,0.120017111034818,P < 0.001
CRIP3,0.141389639813856,P < 0.001
AZU1,0.168713284513293,P < 0.001
CAPN10,0.144652463286892,P < 0.001
NAP1L4,0.164520082836917,P < 0.001
DPPA4,0.164966483842827,P < 0.001
DYNLL1,0.129859095421178,P < 0.001
KRT23,0.260012038031354,P < 0.001
XKRX,0.11765342376058,P < 0.001
TNFAIP3,0.17776548702118,P < 0.001
PRPF39,0.197490923233807,P < 0.001
P4HA2,0.326962921444778,P < 0.001
USP9Y,0.196681741228522,P < 0.001
RPL35,0.187383961248234,P < 0.001
TOPORS,0.157471328279935,P < 0.001
OR8K3,0.143896310774117,P < 0.001
PSMA5,0.155404262130739,P < 0.001
TMPO,0.183884724844533,P < 0.001
SHANK2,0.168932550122519,P < 0.001
IGSF3,0.183388963561856,P < 0.001
ELAVL1,0.316715018915996,P < 0.001
FAM76B,0.276618302871362,P < 0.001
KDM6B,0.219113498119404,P < 0.001
OR2C3,0.149990526544774,P < 0.001
TGM5,0.129481289371819,P < 0.001
OR2F2,0.132256807933846,P < 0.001
WIPF1,0.360815068546373,P < 0.001
MAN2C1,0.126248261346105,P < 0.001
INPP5B,0.291528956540615,P < 0.001
CAPZA1,0.203086553544412,P < 0.001
CORO1C,0.173036526691773,P < 0.001
LTA,0.224302367295924,P < 0.001
CDK19,0.1512752614203,P < 0.001
XRN1,0.227676686888341,P < 0.001
CLTB,0.22521304831213,P < 0.001
ATP13A1,0.147207884390684,P < 0.001
PIBF1,0.194783707048635,P < 0.001
TRIT1,0.152585508681761,P < 0.001
LRRC25,0.178734956457981,P < 0.001
PMFBP1,0.127441641702265,P < 0.001
OR2A25,0.199292435826785,P < 0.001
CD40,0.181802594142422,P < 0.001
IL12RB2,0.186711625678793,P < 0.001
MYT1L,0.137841406668045,P < 0.001
EXOSC5,0.20779585225289,P < 0.001
NPAT,0.183972847257804,P < 0.001
CCT7,0.205028535586276,P < 0.001
PTDSS1,0.237882053576386,P < 0.001
RAB17,0.264958902585454,P < 0.001
SMARCC1,0.297110980005821,P < 0.001
NIPAL1,0.244793062904501,P < 0.001
MT2A,0.15096554565894,P < 0.001
AKR1C1,0.191630788249948,P < 0.001
SCGB1D4,0.149461325703418,P < 0.001
IKZF3,0.194350187035257,P < 0.001
STX1B,0.133654315076343,P < 0.001
SERTAD1,0.22625256264269,P < 0.001
FXYD3,0.160968121668296,P < 0.001
ZNF689,0.204295059703457,P < 0.001
ATOX1,0.169284188673321,P < 0.001
SART3,0.279196950196167,P < 0.001
FAF1,0.189194984756153,P < 0.001
INPP5A,0.139808305608786,P < 0.001
GRID1,0.144297122620777,P < 0.001
RBM8A,0.125746558583846,P < 0.001
NDUFA7,0.137628441828064,P < 0.001
AKAP14,0.15330297697648,P < 0.001
SEH1L,0.150322363760596,P < 0.001
PABPC3,0.121672637329483,P < 0.001
RAB11FIP1,0.191822963929788,P < 0.001
USP45,0.305768422538005,P < 0.001
GPATCH2L,0.233388007006206,P < 0.001
ARHGAP9,0.385114827688449,P < 0.001
EXOC7,0.178550535688721,P < 0.001
MRPL34,0.144361405847286,P < 0.001
RB1,0.183774584168901,P < 0.001
CA10,0.142710481330874,P < 0.001
RBFOX2,0.151732849343381,P < 0.001
PEX5L,0.168123323582437,P < 0.001
EXOSC9,0.320798951503527,P < 0.001
IWS1,0.131505264387363,P < 0.001
ODF1,0.153607646369232,P < 0.001
IGFBP1,0.190326876937868,P < 0.001
ANO5,0.1291048479742,P < 0.001
CRTC2,0.122440836002192,P < 0.001
MROH6,0.13118363375476,P < 0.001
FHAD1,0.159801861224104,P < 0.001
RAB22A,0.253839386338869,P < 0.001
ACLY,0.139864400116528,P < 0.001
PUM3,0.224514491307093,P < 0.001
OSBPL8,0.160950708239772,P < 0.001
PRPF19,0.133131365627806,P < 0.001
OBSL1,0.179911309788916,P < 0.001
ALKBH8,0.139614618085422,P < 0.001
TMEM219,0.12640331864766,P < 0.001
GDAP1L1,0.199979122894653,P < 0.001
RAB9A,0.135785369908497,P < 0.001
CCDC120,0.141250952595131,P < 0.001
SLC25A13,0.25030412864439,P < 0.001
FBXO24,0.147107190226819,P < 0.001
IFI27,0.135611635905287,P < 0.001
IGLL1,0.275180957456749,P < 0.001
EIF2D,0.226133504262904,P < 0.001
RUFY3,0.123866526068389,P < 0.001
C1orf116,0.221042783176501,P < 0.001
REEP6,0.192134745347754,P < 0.001
EPS15L1,0.162189504273566,P < 0.001
VPS52,0.148276880899314,P < 0.001
ROMO1,0.199233926055626,P < 0.001
RAB2A,0.267782959862362,P < 0.001
AVPI1,0.309569695910022,P < 0.001
HOXD13,0.18818833068369,P < 0.001
CTSS,0.214276671589365,P < 0.001
TMEM214,0.155438027023503,P < 0.001
PADI1,0.25977298444213,P < 0.001
KAT8,0.152107929918426,P < 0.001
GALNS,0.199386245285777,P < 0.001
CLEC12A,0.164780384642798,P < 0.001
CD248,0.243667198556375,P < 0.001
DDX24,0.173970610674408,P < 0.001
CNPY3,0.124511626505165,P < 0.001
AQP11,0.251255227908045,P < 0.001
KRTAP5-10,0.145302612184391,P < 0.001
HID1,0.243408884256767,P < 0.001
TICRR,0.209979743426158,P < 0.001
SULF2,0.146427891723509,P < 0.001
CASP10,0.145580640393724,P < 0.001
PHF21A,0.263181596251039,P < 0.001
AURKAIP1_ENST00000338338,0.174759855711533,P < 0.001
ST6GALNAC3,0.143390560141261,P < 0.001
RCBTB2,0.279525441209565,P < 0.001
NRG3,0.134079267762662,P < 0.001
HTR1D,0.134595482235621,P < 0.001
RNF122,0.203400721637177,P < 0.001
MIER2,0.182834346023896,P < 0.001
TMCO3,0.236916024538199,P < 0.001
NDUFAF1,0.170333119875578,P < 0.001
SLC39A8,0.204612566924592,P < 0.001
MCU,0.188034735859305,P < 0.001
KCTD3,0.225582159201919,P < 0.001
CABYR,0.21722937274959,P < 0.001
COMT,0.128389330120497,P < 0.001
VPS35,0.193518450314514,P < 0.001
EFNA5,0.183715992871722,P < 0.001
BRPF3,0.180478434044628,P < 0.001
TNRC6C,0.187046880862814,P < 0.001
UBXN1,0.225590676633924,P < 0.001
DOCK11,0.282382770826752,P < 0.001
EIF6,0.220344752682616,P < 0.001
TRMT6,0.135511236237439,P < 0.001
ANKRD9,0.254695125350624,P < 0.001
OR6C4,0.126242833313229,P < 0.001
CHMP4B,0.201121465453915,P < 0.001
TCP11L2,0.127137931068242,P < 0.001
C1QTNF7,0.155427131016717,P < 0.001
PCDH8,0.128860952306073,P < 0.001
ZNF333,0.248416816385217,P < 0.001
RPS4Y2,0.170793604212467,P < 0.001
POU4F2,0.121903651313617,P < 0.001
CGAS_ENST00000370318,0.124529903101714,P < 0.001
C4BPB,0.119023318892432,P < 0.001
FARSB,0.137624807443719,P < 0.001
KRTAP5-1,0.121200163022758,P < 0.001
LPCAT2,0.14729913943,P < 0.001
CEP128,0.26022259407829,P < 0.001
FAM107B,0.16675675190319,P < 0.001
MAML3,0.158554628118563,P < 0.001
HDLBP,0.24336162441654,P < 0.001
JAM2,0.134012109002835,P < 0.001
FANCD2,0.148506799414708,P < 0.001
ZBTB38,0.184215171575311,P < 0.001
TCEAL4,0.251366716255376,P < 0.001
HSD11B1,0.151320813874865,P < 0.001
RPLP1,0.213901294261278,P < 0.001
LTA4H,0.145123262524147,P < 0.001
BIN3,0.163496813540579,P < 0.001
WDR55,0.132842636279071,P < 0.001
SLC14A2,0.129206589042306,P < 0.001
DPY19L3,0.202559977610554,P < 0.001
MTRF1,0.252529991711102,P < 0.001
KRTAP19-4,0.166588237103297,P < 0.001
C7orf61,0.179853710854133,P < 0.001
CENPM,0.161058639527146,P < 0.001
FSD1L,0.192592447263345,P < 0.001
ECHDC1,0.189612336621737,P < 0.001
CCDC160,0.155385136028214,P < 0.001
GSTA1,0.124650667683277,P < 0.001
TSPOAP1_ENST00000268893,0.201536861339955,P < 0.001
ZBTB39,0.28378351762373,P < 0.001
C21orf62,0.154098094067119,P < 0.001
PDIA3,0.214651918222915,P < 0.001
SLC30A1,0.258035732432255,P < 0.001
LRRC59,0.169703649199007,P < 0.001
SNW1,0.203065487830802,P < 0.001
TCEANC2,0.218884853185151,P < 0.001
MAN1A2,0.131681801825222,P < 0.001
COBLL1,0.257001748282866,P < 0.001
URB2,0.213305503910133,P < 0.001
CGN,0.278766625466593,P < 0.001
YAP1,0.372282467803801,P < 0.001
C15orf61,0.177099698691655,P < 0.001
GANC,0.217138002630483,P < 0.001
LRRK1,0.153694584632816,P < 0.001
BEND4,0.287155568417746,P < 0.001
PDE1B,0.207204794743497,P < 0.001
CTSG,0.17911164610497,P < 0.001
MYOF,0.350674527529721,P < 0.001
PPP4R1,0.157991211599535,P < 0.001
MLC1,0.260095786151939,P < 0.001
COX20,0.145879917530024,P < 0.001
ZBTB5,0.142822444352243,P < 0.001
AIPL1,0.133602503624842,P < 0.001
GIMAP8,0.247431231877019,P < 0.001
ALMS1,0.193819505240357,P < 0.001
CDA,0.184323131242369,P < 0.001
HMX2,0.176028265918339,P < 0.001
PIK3CB,0.241787195189651,P < 0.001
ADO,0.136556435693523,P < 0.001
UTP18,0.152943508266864,P < 0.001
USP42,0.138577865912098,P < 0.001
USP54,0.177004316729696,P < 0.001
FRS3,0.132980952163244,P < 0.001
SNRPG,0.180834414049712,P < 0.001
NAA15,0.24112589267746,P < 0.001
FAM208A,0.225993021049956,P < 0.001
C7orf31,0.193776123015473,P < 0.001
NEDD4L,0.154401556064042,P < 0.001
HIRIP3,0.167060918311594,P < 0.001
RINL,0.158224060735863,P < 0.001
ATXN7,0.182838564601139,P < 0.001
HDAC2,0.210894482430876,P < 0.001
STMN1,0.18076336002358,P < 0.001
TRMT44,0.144273948160311,P < 0.001
ZNF433,0.148244385148326,P < 0.001
NISCH,0.215167301286647,P < 0.001
PABPC5,0.124703214375741,P < 0.001
LRRC8D,0.130257365265108,P < 0.001
NCOR1,0.150639975258359,P < 0.001
RAB12,0.132607834376576,P < 0.001
ZNF207,0.145944857206116,P < 0.001
CHEK2,0.129950117064035,P < 0.001
IQGAP3,0.1262829263537,P < 0.001
SMYD2,0.126802292373592,P < 0.001
HEBP2,0.21081066635231,P < 0.001
PASK,0.227693076587355,P < 0.001
SLC35B2,0.267314690647049,P < 0.001
HSPD1,0.12767602161087,P < 0.001
PAG1,0.194233828453697,P < 0.001
ZNF318,0.179313643570085,P < 0.001
ZNF671,0.295757729820678,P < 0.001
NENF,0.127284964303604,P < 0.001
A3GALT2,0.202654842941474,P < 0.001
C16orf87,0.228407098226539,P < 0.001
KCNV2,0.177872739850238,P < 0.001
SRSF5,0.166528542794809,P < 0.001
UBE2I,0.14925422970369,P < 0.001
IDH1,0.221631818208204,P < 0.001
NLN,0.135498576227576,P < 0.001
RBM26,0.26210275068419,P < 0.001
APBB1IP,0.242594203972568,P < 0.001
CLPB,0.126649812982758,P < 0.001
TBRG1,0.161978611874645,P < 0.001
FMNL2,0.158856160299733,P < 0.001
NEGR1,0.143309506997803,P < 0.001
RETSAT,0.240697192271855,P < 0.001
DPY19L4,0.222820820975022,P < 0.001
FAM173B,0.146836025564606,P < 0.001
ACVR1,0.222918999652916,P < 0.001
USP43,0.15782678421984,P < 0.001
FUCA2,0.305368037755468,P < 0.001
G3BP2,0.121343847153427,P < 0.001
TMTC3,0.268335399091781,P < 0.001
OR8U1,0.130557946025132,P < 0.001
OS9,0.18092806372203,P < 0.001
SLC22A5,0.25079132561243,P < 0.001
CWC27,0.263643796862903,P < 0.001
TMC8,0.197133225287686,P < 0.001
PDE6D,0.17083539779081,P < 0.001
FLT4,0.200405474236926,P < 0.001
METTL7B,0.156512293371323,P < 0.001
ZNF486,0.167775438474373,P < 0.001
ADAMTSL1,0.184745673182907,P < 0.001
NDUFS3,0.12476960302345,P < 0.001
HPRT1,0.130832150187379,P < 0.001
RASSF9,0.113983630946875,P < 0.001
LIFR,0.128031432504798,P < 0.001
ADAM10,0.169154098754604,P < 0.001
SERBP1,0.281849781916348,P < 0.001
ZNF630,0.148246608982483,P < 0.001
TUFT1,0.384909375134452,P < 0.001
NCSTN,0.147599532647765,P < 0.001
JAML_ENST00000526620,0.183413415714226,P < 0.001
ZNF236,0.259722611302263,P < 0.001
SLFN11,0.507807192065428,P < 0.001
TCTN1,0.152923456598487,P < 0.001
LARP7,0.22563671657011,P < 0.001
RFWD3,0.166538927451931,P < 0.001
IL18RAP,0.18658440586683,P < 0.001
TMPRSS15,0.147108620684946,P < 0.001
SLC17A5,0.255598809786965,P < 0.001
WDR34,0.162828635501897,P < 0.001
CPSF1,0.176968118061651,P < 0.001
SV2A,0.168362549361613,P < 0.001
TNFRSF4,0.137428073527416,P < 0.001
IL5RA,0.127552123192546,P < 0.001
BAMBI,0.261650225150609,P < 0.001
PNPLA4,0.185044153700482,P < 0.001
DCAF6,0.135633957908309,P < 0.001
IZUMO4,0.168678582208651,P < 0.001
OR52N2,0.124670039199767,P < 0.001
SFXN4,0.123377300779835,P < 0.001
PPL,0.322641644900764,P < 0.001
AGAP2,0.188631505128047,P < 0.001
DKK1,0.25207323850617,P < 0.001
PLEKHG3,0.264653623802537,P < 0.001
ITM2B,0.175518232613861,P < 0.001
CASP2,0.148479557724711,P < 0.001
ARMC8,0.133149480637959,P < 0.001
RAB13,0.222178602671845,P < 0.001
DAG1,0.406602301204852,P < 0.001
RNASEH2B,0.321180722772374,P < 0.001
GCNT4,0.13448250382084,P < 0.001
UBA5,0.146317466603955,P < 0.001
ZBTB34,0.152943517589276,P < 0.001
TMEM161B,0.135786393731576,P < 0.001
TMEM53,0.136692264320385,P < 0.001
PID1,0.121146611774793,P < 0.001
CCL4,0.216191213578252,P < 0.001
ECHDC2,0.238799547248273,P < 0.001
LRPAP1,0.116690199296986,P < 0.001
DEPTOR,0.147345789018699,P < 0.001
ERICH1,0.279887489716342,P < 0.001
ATP6AP1,0.278498754021609,P < 0.001
CSTF2T,0.20389584636357,P < 0.001
LY6E,0.223753511883951,P < 0.001
ING5,0.251628770137796,P < 0.001
LCK,0.172256285620569,P < 0.001
ADI1,0.15508982237386,P < 0.001
MMP7,0.144184304203168,P < 0.001
UBL4B,0.115957391436486,P < 0.001
ALAS2,0.138853538151074,P < 0.001
DOLK,0.29294433527589,P < 0.001
LARP1,0.173436542569796,P < 0.001
SLC22A4,0.129227114424842,P < 0.001
CLDN15,0.187041009189448,P < 0.001
SRC,0.171783059967926,P < 0.001
SLC26A10,0.148762761635373,P < 0.001
AFF2,0.181551611209652,P < 0.001
EPS8,0.302675184645091,P < 0.001
NPY,0.115763356984484,P < 0.001
SIX6,0.175731244613539,P < 0.001
NMU,0.202707015867062,P < 0.001
ITSN2,0.185075276230836,P < 0.001
PGAP3,0.202906701812762,P < 0.001
GCNA_ENST00000373696,0.137885254126669,P < 0.001
NHLRC1,0.253661741789974,P < 0.001
FRK,0.217658484207616,P < 0.001
FAM126A,0.13339310219268,P < 0.001
PHB,0.178969421354444,P < 0.001
CDC42EP4,0.240839056132569,P < 0.001
ZNF430,0.269589964394264,P < 0.001
ZNF852,0.167085581105285,P < 0.001
LGALS9,0.11701359310934,P < 0.001
LAS1L,0.165355551669132,P < 0.001
DCP2,0.272890995262773,P < 0.001
KLHL36,0.151771101694042,P < 0.001
NOC3L,0.214064718694656,P < 0.001
TMEM70,0.167205334635696,P < 0.001
LASP1,0.321841389825088,P < 0.001
TRPV3,0.147344724455854,P < 0.001
TMEM26,0.146090157468707,P < 0.001
TOLLIP,0.132324655030546,P < 0.001
HUWE1,0.142339702037383,P < 0.001
OR2J3,0.162712412492422,P < 0.001
EXT1,0.243498240861178,P < 0.001
PIGT,0.23443066489864,P < 0.001
PIK3CG,0.383039289419703,P < 0.001
CD209,0.1153072915304,P < 0.001
FHL5,0.262425413268208,P < 0.001
FAT1,0.246008623885629,P < 0.001
ZDHHC16,0.156424632600425,P < 0.001
B3GNT5,0.132907810489981,P < 0.001
RORB,0.218912803889657,P < 0.001
SLC44A3,0.29900232195797,P < 0.001
USPL1,0.285005106719272,P < 0.001
CDIPT,0.200853526073282,P < 0.001
TRIML1,0.21471127201903,P < 0.001
CD300LF,0.122747784013019,P < 0.001
HAUS8,0.130522568223339,P < 0.001
CLDN3,0.305662322626001,P < 0.001
SMAD2,0.194520528270966,P < 0.001
RAB2B,0.171920994138166,P < 0.001
BAX,0.175833820761482,P < 0.001
TOR3A,0.130733204467389,P < 0.001
LAMB4,0.138051842321184,P < 0.001
TMEM63B,0.168916849130188,P < 0.001
ADSSL1,0.190274917158785,P < 0.001
TRIM2,0.238671572496931,P < 0.001
PPP3R1,0.164930627157891,P < 0.001
CNMD,0.136395489590221,P < 0.001
ZNF574,0.163627513728416,P < 0.001
KATNAL2,0.171090000437176,P < 0.001
S100PBP,0.270100274974298,P < 0.001
IFNA8,0.14986880999064,P < 0.001
TJP3,0.235011047744353,P < 0.001
RGS14,0.153158996804528,P < 0.001
UNC79,0.151831403660756,P < 0.001
MYSM1,0.199814564258287,P < 0.001
NOXRED1,0.205632563443713,P < 0.001
CDADC1,0.158553203994217,P < 0.001
MEF2A,0.18243432072654,P < 0.001
SFPQ,0.219551091072422,P < 0.001
LSM2,0.216289059574842,P < 0.001
CYP4F12,0.208422581328347,P < 0.001
ARHGAP32,0.217209189933257,P < 0.001
KCTD7,0.133911003750763,P < 0.001
FAM114A1,0.285785687127759,P < 0.001
ATG9A,0.17976050687015,P < 0.001
HSF4,0.123389169075453,P < 0.001
ACADVL,0.161683291796542,P < 0.001
