Gene_Name,Correlation,P_Value
C14orf93,0.156902819134755,P < 0.001
PTPRR,0.146937517503735,P < 0.001
LRRC71,0.133793530679707,P < 0.001
GRHL3,0.178318781260559,P < 0.001
ABHD12,0.331012489587152,P < 0.001
PTMS,0.185823366928989,P < 0.001
MYL6,0.242657016760173,P < 0.001
KCNB2,0.148718712627175,P < 0.001
CHST10,0.272705695030107,P < 0.001
PSPC1,0.192400382170088,P < 0.001
CTDSPL,0.368082499448805,P < 0.001
ECHDC3,0.126440781072001,P < 0.001
CLEC4F,0.136639573276219,P < 0.001
KIAA1671,0.370567520498431,P < 0.001
AEBP1,0.239835354224159,P < 0.001
FURIN,0.125149817581743,P < 0.001
PTBP2,0.197587529921348,P < 0.001
IRAK3,0.182432604633683,P < 0.001
DMRTA1,0.163695061360805,P < 0.001
UQCRB,0.138689641699096,P < 0.001
AMD1,0.170838962078877,P < 0.001
SDR42E1,0.156659946636007,P < 0.001
ESCO2,0.14968744669491,P < 0.001
LAGE3,0.176057400996767,P < 0.001
WT1,0.185719119995834,P < 0.001
FGFBP1,0.223126044978897,P < 0.001
ATP8B2,0.159758123372369,P < 0.001
PNOC,0.168679471960942,P < 0.001
GPHB5,0.14061262004976,P < 0.001
KAZALD1,0.148331691169034,P < 0.001
KRT20,0.13583988265159,P < 0.001
SETDB1,0.203437600469694,P < 0.001
IKBKB,0.151260262590415,P < 0.001
SHARPIN,0.19825952679066,P < 0.001
HPGDS,0.139065824422943,P < 0.001
SERPINH1,0.211561687685119,P < 0.001
RPS29,0.21256199526378,P < 0.001
ZNF121,0.223031832776375,P < 0.001
ENPP7,0.152937367010883,P < 0.001
HDAC11,0.399693824801795,P < 0.001
UGGT2,0.195575835733101,P < 0.001
GABPB1,0.231390631241187,P < 0.001
CCL23,0.165379448134,P < 0.001
DGKB,0.139590825696384,P < 0.001
URAD,0.164552731515371,P < 0.001
GABRB2,0.173744522595994,P < 0.001
FTH1,0.259793250766543,P < 0.001
NUBP1,0.135007437719922,P < 0.001
EDNRA,0.150846190399434,P < 0.001
YIPF3,0.225576107140742,P < 0.001
GBP5,0.149121485715359,P < 0.001
TWSG1,0.192932753102413,P < 0.001
ZIM3,0.164495421481704,P < 0.001
CGGBP1,0.288848286879785,P < 0.001
SPATA17,0.188876424362007,P < 0.001
ALK,0.163610824452887,P < 0.001
SSH3,0.35225405351872,P < 0.001
FCRL3,0.18468221659582,P < 0.001
TRMT1,0.174942649590399,P < 0.001
CUEDC1,0.338014889573951,P < 0.001
KLF13,0.199732055383234,P < 0.001
VPS37A,0.134680733109847,P < 0.001
ELF2,0.206010039426607,P < 0.001
ITGA4,0.372195624816959,P < 0.001
LDHAL6A,0.203040110622255,P < 0.001
CMBL,0.129218659886966,P < 0.001
MOCS3,0.188446793679477,P < 0.001
OTP,0.170943392849373,P < 0.001
PLCB3,0.195723337180862,P < 0.001
RNASE2,0.154370829999717,P < 0.001
C9orf152,0.172320774844713,P < 0.001
DIAPH2,0.14201577778266,P < 0.001
BARHL2,0.17108078634714,P < 0.001
SLC35A2,0.286574375858363,P < 0.001
OR2B3,0.11776298036915,P < 0.001
DPY19L2,0.186629988850691,P < 0.001
GLB1L,0.170652706802817,P < 0.001
PDHB,0.148095126481277,P < 0.001
SERPINB6,0.206218117819351,P < 0.001
GBP4,0.209462069397071,P < 0.001
FBXW7,0.229313632462491,P < 0.001
CHODL,0.133318934220664,P < 0.001
NXPH2,0.148685434023309,P < 0.001
NXF5,0.123133044285262,P < 0.001
MOS,0.146374988755161,P < 0.001
FMO1,0.115495388316395,P < 0.001
MDM2,0.174221410833982,P < 0.001
MTMR8,0.154103474388071,P < 0.001
PPARGC1B,0.220314060284735,P < 0.001
MTPN,0.117176001996392,P < 0.001
TMOD2,0.12347212632314,P < 0.001
LRRC8C,0.287859564559208,P < 0.001
HOMER3,0.165092198497182,P < 0.001
IL27RA,0.220707249373662,P < 0.001
FZD4,0.189455046687538,P < 0.001
PGRMC2,0.134095281411917,P < 0.001
